Organism	Name	Cell Type	Reference	URL	Entrez ID	Function
Mouse	HNF4A	Hepatocytes	PanglaoDB	https://panglaodb.se/	15378	hepatic nuclear factor 4, alpha
Mouse	GJB2	Hepatocytes	PanglaoDB	https://panglaodb.se/	14619	gap junction protein, beta 2
Mouse	FGFR4	Hepatocytes	PanglaoDB	https://panglaodb.se/	14186	fibroblast growth factor receptor 4
Mouse	PROX1	Hepatocytes	PanglaoDB	https://panglaodb.se/	19130	prospero homeobox 1
Mouse	CRP	Hepatocytes	PanglaoDB	https://panglaodb.se/	12944	C-reactive protein, pentraxin-related
Mouse	SLC2A2	Hepatocytes	PanglaoDB	https://panglaodb.se/	20526	solute carrier family 2 (facilitated glucose transporter), member 2
Mouse	TFR2	Hepatocytes	PanglaoDB	https://panglaodb.se/	50765	transferrin receptor 2
Mouse	KIF13B	Hepatocytes	PanglaoDB	https://panglaodb.se/	16554	kinesin family member 13B
Mouse	LIPC	Hepatocytes	PanglaoDB	https://panglaodb.se/	15450	lipase, hepatic
Mouse	VDR	Hepatocytes	PanglaoDB	https://panglaodb.se/	22337	vitamin D (1,25-dihydroxyvitamin D3) receptor
Mouse	ASGR1	Hepatocytes	PanglaoDB	https://panglaodb.se/	11889	asialoglycoprotein receptor 1
Mouse	ARG1	Hepatocytes	PanglaoDB	https://panglaodb.se/	11846	arginase, liver
Mouse	AFP	Hepatocytes	PanglaoDB	https://panglaodb.se/	11576	alpha fetoprotein
Mouse	ALB	Hepatocytes	PanglaoDB	https://panglaodb.se/	11657	albumin
Mouse	G6PC	Hepatocytes	PanglaoDB	https://panglaodb.se/	14377	glucose-6-phosphatase, catalytic
Mouse	OTC	Hepatocytes	PanglaoDB	https://panglaodb.se/	18416	ornithine transcarbamylase
Mouse	UGT1A1	Hepatocytes	PanglaoDB	https://panglaodb.se/	394436	UDP glucuronosyltransferase 1 family, polypeptide A1
Mouse	ZHX2	Hepatocytes	PanglaoDB	https://panglaodb.se/	387609	zinc fingers and homeoboxes 2
Mouse	HHEX	Hepatocytes	PanglaoDB	https://panglaodb.se/	15242	hematopoietically expressed homeobox
Mouse	FOXA3	Hepatocytes	PanglaoDB	https://panglaodb.se/	15377	forkhead box A3
Mouse	FOXA2	Hepatocytes	PanglaoDB	https://panglaodb.se/	15376	forkhead box A2
Mouse	FOXA1	Hepatocytes	PanglaoDB	https://panglaodb.se/	15375	forkhead box A1
Mouse	CYP7A1	Hepatocytes	PanglaoDB	https://panglaodb.se/	13122	cytochrome P450, family 7, subfamily a, polypeptide 1
Mouse	CYP2E1	Hepatocytes	PanglaoDB	https://panglaodb.se/	13106	cytochrome P450, family 2, subfamily e, polypeptide 1
Mouse	CYP1A2	Hepatocytes	PanglaoDB	https://panglaodb.se/	13077	cytochrome P450, family 1, subfamily a, polypeptide 2
Mouse	CEBPA	Hepatocytes	PanglaoDB	https://panglaodb.se/	12606	CCAAT/enhancer binding protein (C/EBP), alpha
Mouse	CDH1	Hepatocytes	PanglaoDB	https://panglaodb.se/	12550	cadherin 1
Mouse	GPC3	Hepatocytes	PanglaoDB	https://panglaodb.se/	14734	glypican 3
Mouse	AHR	Hepatocytes	PanglaoDB	https://panglaodb.se/	11622	aryl-hydrocarbon receptor
Mouse	CYP1A1	Hepatocytes	PanglaoDB	https://panglaodb.se/	13076	cytochrome P450, family 1, subfamily a, polypeptide 1
Mouse	NR1I3	Hepatocytes	PanglaoDB	https://panglaodb.se/	12355	nuclear receptor subfamily 1, group I, member 3
Mouse	CPS1	Hepatocytes	PanglaoDB	https://panglaodb.se/	227231	carbamoyl-phosphate synthetase 1
Mouse	GLS2	Hepatocytes	PanglaoDB	https://panglaodb.se/	216456	glutaminase 2 (liver, mitochondrial)
Mouse	PCK1	Hepatocytes	PanglaoDB	https://panglaodb.se/	18534	phosphoenolpyruvate carboxykinase 1, cytosolic
Mouse	FCNA	Hepatocytes	PanglaoDB	https://panglaodb.se/	14133	ficolin A
Mouse	TAT	Hepatocytes	PanglaoDB	https://panglaodb.se/	234724	tyrosine aminotransferase
Mouse	WT1	Hepatocytes	PanglaoDB	https://panglaodb.se/	22431	Wilms tumor 1 homolog
Mouse	PRRG4	Hepatocytes	PanglaoDB	https://panglaodb.se/	228413	proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)
Mouse	SULT1A1	Hepatocytes	PanglaoDB	https://panglaodb.se/	20887	sulfotransferase family 1A, phenol-preferring, member 1
Mouse	APOH	Hepatocytes	PanglaoDB	https://panglaodb.se/	11818	apolipoprotein H
Mouse	CTNNB1	Hepatocytes	PanglaoDB	https://panglaodb.se/	12387	catenin (cadherin associated protein), beta 1
Mouse	ABCC3	Hepatocytes	PanglaoDB	https://panglaodb.se/	76408	ATP-binding cassette, sub-family C (CFTR/MRP), member 3
Mouse	FGB	Hepatocytes	PanglaoDB	https://panglaodb.se/	110135	fibrinogen beta chain
Mouse	AQP3	Hepatocytes	PanglaoDB	https://panglaodb.se/	11828	aquaporin 3
Mouse	PLSCR1	Hepatocytes	PanglaoDB	https://panglaodb.se/	22038	phospholipid scramblase 1
Mouse	FGA	Hepatocytes	PanglaoDB	https://panglaodb.se/	14161	fibrinogen alpha chain
Mouse	APOB	Hepatocytes	PanglaoDB	https://panglaodb.se/	238055	apolipoprotein B
Mouse	ANG	Hepatocytes	PanglaoDB	https://panglaodb.se/	11727	angiogenin, ribonuclease, RNase A family, 5
Mouse	ANXA13	Hepatocytes	PanglaoDB	https://panglaodb.se/	69787	annexin A13
Mouse	SAT2	Hepatocytes	PanglaoDB	https://panglaodb.se/	69215	spermidine/spermine N1-acetyl transferase 2
Mouse	SFRP5	Hepatocytes	PanglaoDB	https://panglaodb.se/	54612	secreted frizzled-related sequence protein 5
Mouse	A1CF	Hepatocytes	PanglaoDB	https://panglaodb.se/	69865	APOBEC1 complementation factor
Mouse	APOA1	Hepatocytes	PanglaoDB	https://panglaodb.se/	11806	apolipoprotein A-I
Mouse	BNIP3	Hepatocytes	PanglaoDB	https://panglaodb.se/	12176	BCL2/adenovirus E1B interacting protein 3
Mouse	FGL1	Hepatocytes	PanglaoDB	https://panglaodb.se/	234199	fibrinogen-like protein 1
Mouse	PAH	Hepatocytes	PanglaoDB	https://panglaodb.se/	18478	phenylalanine hydroxylase
Mouse	SERPINA6	Hepatocytes	PanglaoDB	https://panglaodb.se/	12401	serine (or cysteine) peptidase inhibitor, clade A, member 6
Mouse	APOA2	Hepatocytes	PanglaoDB	https://panglaodb.se/	11807	apolipoprotein A-II
Mouse	AZGP1	Hepatocytes	PanglaoDB	https://panglaodb.se/	12007	alpha-2-glycoprotein 1, zinc
Mouse	FGG	Hepatocytes	PanglaoDB	https://panglaodb.se/	99571	fibrinogen gamma chain
Mouse	APOC3	Hepatocytes	PanglaoDB	https://panglaodb.se/	11814	apolipoprotein C-III
Mouse	DEFB1	Hepatocytes	PanglaoDB	https://panglaodb.se/	13214	defensin beta 1
Mouse	TM4SF4	Hepatocytes	PanglaoDB	https://panglaodb.se/	229302	transmembrane 4 superfamily member 4
Mouse	GC	Hepatocytes	PanglaoDB	https://panglaodb.se/	14473	vitamin D binding protein
Mouse	AMBP	Hepatocytes	PanglaoDB	https://panglaodb.se/	11699	alpha 1 microglobulin/bikunin precursor
Mouse	ORM1	Hepatocytes	PanglaoDB	https://panglaodb.se/	18405	orosomucoid 1
Mouse	TTR	Hepatocytes	PanglaoDB	https://panglaodb.se/	22139	transthyretin
Mouse	SERPINA1C	Hepatocytes	PanglaoDB	https://panglaodb.se/	20702	serine (or cysteine) peptidase inhibitor, clade A, member 1C
Mouse	GULO	Hepatocytes	PanglaoDB	https://panglaodb.se/	268756	gulonolactone (L-) oxidase
Mouse	CYP2F2	Hepatocytes	PanglaoDB	https://panglaodb.se/	13107	cytochrome P450, family 2, subfamily f, polypeptide 2
Mouse	HAL	Hepatocytes	PanglaoDB	https://panglaodb.se/	15109	histidine ammonia lyase
Mouse	ASS1	Hepatocytes	PanglaoDB	https://panglaodb.se/	11898	argininosuccinate synthetase 1
Mouse	HMGCS1	Hepatocytes	PanglaoDB	https://panglaodb.se/	208715	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1
Mouse	ACSS2	Hepatocytes	PanglaoDB	https://panglaodb.se/	60525	acyl-CoA synthetase short-chain family member 2
Mouse	TM7SF2	Hepatocytes	PanglaoDB	https://panglaodb.se/	73166	transmembrane 7 superfamily member 2
Mouse	SEC16B	Hepatocytes	PanglaoDB	https://panglaodb.se/	89867	SEC16 homolog B (S. cerevisiae)
Mouse	SLBP	Hepatocytes	PanglaoDB	https://panglaodb.se/	20492	stem-loop binding protein
Mouse	RND3	Hepatocytes	PanglaoDB	https://panglaodb.se/	74194	Rho family GTPase 3
Mouse	BCHE	Hepatocytes	PanglaoDB	https://panglaodb.se/	12038	butyrylcholinesterase
Mouse	GHR	Hepatocytes	PanglaoDB	https://panglaodb.se/	14600	growth hormone receptor
Mouse	ALDH6A1	Hepatocytes	PanglaoDB	https://panglaodb.se/	104776	aldehyde dehydrogenase family 6, subfamily A1
Mouse	MASP2	Hepatocytes	PanglaoDB	https://panglaodb.se/	17175	mannan-binding lectin serine peptidase 2
Mouse	HAMP	Hepatocytes	PanglaoDB	https://panglaodb.se/	84506	hepcidin antimicrobial peptide
Mouse	GLUL	Hepatocytes	PanglaoDB	https://panglaodb.se/	14645	glutamate-ammonia ligase (glutamine synthetase)
Mouse	ACLY	Hepatocytes	PanglaoDB	https://panglaodb.se/	104112	ATP citrate lyase
Mouse	ASL	Hepatocytes	PanglaoDB	https://panglaodb.se/	109900	argininosuccinate lyase
Mouse	MUP3	Hepatocytes	PanglaoDB	https://panglaodb.se/	17842	major urinary protein 3
Mouse	TMEM97	Hepatocytes	PanglaoDB	https://panglaodb.se/	69071	transmembrane protein 97
Mouse	CP	Hepatocytes	PanglaoDB	https://panglaodb.se/	12870	ceruloplasmin
Mouse	SLPI	Hepatocytes	PanglaoDB	https://panglaodb.se/	20568	secretory leukocyte peptidase inhibitor
Mouse	ACAT2	Hepatocytes	PanglaoDB	https://panglaodb.se/	110460	acetyl-Coenzyme A acetyltransferase 2
Mouse	TM4SF5	Hepatocytes	PanglaoDB	https://panglaodb.se/	75604	transmembrane 4 superfamily member 5
Mouse	MSMO1	Hepatocytes	PanglaoDB	https://panglaodb.se/	66234	methylsterol monoxygenase 1
Mouse	LEPR	Hepatocytes	PanglaoDB	https://panglaodb.se/	16847	leptin receptor
Mouse	RCAN1	Hepatocytes	PanglaoDB	https://panglaodb.se/	54720	regulator of calcineurin 1
Mouse	AR	Hepatocytes	PanglaoDB	https://panglaodb.se/	11835	androgen receptor
Mouse	PLIN1	Hepatocytes	PanglaoDB	https://panglaodb.se/	103968	perilipin 1
Mouse	RPP25L	Hepatocytes	PanglaoDB	https://panglaodb.se/	69961	ribonuclease P/MRP 25 subunit-like
Mouse	HSD11B1	Hepatocytes	PanglaoDB	https://panglaodb.se/	15483	hydroxysteroid 11-beta dehydrogenase 1
Mouse	APOM	Hepatocytes	PanglaoDB	https://panglaodb.se/	55938	apolipoprotein M
Mouse	TKFC	Hepatocytes	PanglaoDB	https://panglaodb.se/	225913	triokinase, FMN cyclase
Mouse	G0S2	Hepatocytes	PanglaoDB	https://panglaodb.se/	14373	G0/G1 switch gene 2
Mouse	PON3	Hepatocytes	PanglaoDB	https://panglaodb.se/	269823	paraoxonase 3
Mouse	TTC36	Hepatocytes	PanglaoDB	https://panglaodb.se/	192653	tetratricopeptide repeat domain 36
Mouse	GOLT1A	Hepatocytes	PanglaoDB	https://panglaodb.se/	68338	golgi transport 1A
Mouse	FST	Hepatocytes	PanglaoDB	https://panglaodb.se/	14313	follistatin
Mouse	MCC	Hepatocytes	PanglaoDB	https://panglaodb.se/	328949	mutated in colorectal cancers
Mouse	AQP9	Hepatocytes	PanglaoDB	https://panglaodb.se/	64008	aquaporin 9
Mouse	GSTA2	Hepatocytes	PanglaoDB	https://panglaodb.se/	14858	glutathione S-transferase, alpha 2 (Yc2)
Mouse	NNT	Hepatocytes	PanglaoDB	https://panglaodb.se/	18115	nicotinamide nucleotide transhydrogenase
Mouse	SAA4	Hepatocytes	PanglaoDB	https://panglaodb.se/	20211	serum amyloid A 4
Mouse	MRPS18C	Hepatocytes	PanglaoDB	https://panglaodb.se/	68735	mitochondrial ribosomal protein S18C
Mouse	OCIAD1	Hepatocytes	PanglaoDB	https://panglaodb.se/	68095	OCIA domain containing 1
Mouse	APOA5	Hepatocytes	PanglaoDB	https://panglaodb.se/	66113	apolipoprotein A-V
Mouse	ENTPD5	Hepatocytes	PanglaoDB	https://panglaodb.se/	12499	ectonucleoside triphosphate diphosphohydrolase 5
Mouse	C4B	Hepatocytes	PanglaoDB	https://panglaodb.se/	12268	complement component 4B (Chido blood group)
Mouse	EID2	Hepatocytes	PanglaoDB	https://panglaodb.se/	386655	EP300 interacting inhibitor of differentiation 2
Mouse	ATIC	Hepatocytes	PanglaoDB	https://panglaodb.se/	108147	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
Mouse	SERPINH1	Hepatocytes	PanglaoDB	https://panglaodb.se/	12406	serine (or cysteine) peptidase inhibitor, clade H, member 1
Mouse	SAMD5	Hepatocytes	PanglaoDB	https://panglaodb.se/	320825	sterile alpha motif domain containing 5
Mouse	GRB14	Hepatocytes	PanglaoDB	https://panglaodb.se/	50915	growth factor receptor bound protein 14
Mouse	ABCD3	Hepatocytes	PanglaoDB	https://panglaodb.se/	19299	ATP-binding cassette, sub-family D (ALD), member 3
Mouse	RHOB	Hepatocytes	PanglaoDB	https://panglaodb.se/	11852	ras homolog family member B
Mouse	EPB41L4B	Hepatocytes	PanglaoDB	https://panglaodb.se/	54357	erythrocyte membrane protein band 4.1 like 4b
Mouse	GPAT4	Hepatocytes	PanglaoDB	https://panglaodb.se/	102247	glycerol-3-phosphate acyltransferase 4
Mouse	SPTBN1	Hepatocytes	PanglaoDB	https://panglaodb.se/	20742	spectrin beta, non-erythrocytic 1
Mouse	SDC2	Hepatocytes	PanglaoDB	https://panglaodb.se/	15529	syndecan 2
Mouse	PHLDA1	Hepatocytes	PanglaoDB	https://panglaodb.se/	21664	pleckstrin homology like domain, family A, member 1
Mouse	WTAP	Hepatocytes	PanglaoDB	https://panglaodb.se/	60532	Wilms tumour 1-associating protein
Mouse	ACADM	Hepatocytes	PanglaoDB	https://panglaodb.se/	11364	acyl-Coenzyme A dehydrogenase, medium chain
Mouse	GJA5	His bundle cells	PanglaoDB	https://panglaodb.se/	14613	gap junction protein, alpha 5
Mouse	GJC1	His bundle cells	PanglaoDB	https://panglaodb.se/	14615	gap junction protein, gamma 1
Mouse	KCNK3	His bundle cells	PanglaoDB	https://panglaodb.se/	16527	potassium channel, subfamily K, member 3
Mouse	PAX6	Immature neurons	PanglaoDB	https://panglaodb.se/	18508	paired box 6
Mouse	PCLO	Immature neurons	PanglaoDB	https://panglaodb.se/	26875	piccolo (presynaptic cytomatrix protein)
Mouse	CUX2	Immature neurons	PanglaoDB	https://panglaodb.se/	13048	cut-like homeobox 2
Mouse	SLC12A5	Immature neurons	PanglaoDB	https://panglaodb.se/	57138	solute carrier family 12, member 5
Mouse	POMC	Immature neurons	PanglaoDB	https://panglaodb.se/	18976	pro-opiomelanocortin-alpha
Mouse	STIM2	Immature neurons	PanglaoDB	https://panglaodb.se/	116873	stromal interaction molecule 2
Mouse	RAX	Immature neurons	PanglaoDB	https://panglaodb.se/	19434	retina and anterior neural fold homeobox
Mouse	CUL5	Immature neurons	PanglaoDB	https://panglaodb.se/	75717	cullin 5
Mouse	HIVEP2	Immature neurons	PanglaoDB	https://panglaodb.se/	15273	human immunodeficiency virus type I enhancer binding protein 2
Mouse	FUT9	Immature neurons	PanglaoDB	https://panglaodb.se/	14348	fucosyltransferase 9
Mouse	TBR1	Immature neurons	PanglaoDB	https://panglaodb.se/	21375	T-box brain gene 1
Mouse	PROX1	Immature neurons	PanglaoDB	https://panglaodb.se/	19130	prospero homeobox 1
Mouse	NTRK3	Immature neurons	PanglaoDB	https://panglaodb.se/	18213	neurotrophic tyrosine kinase, receptor, type 3
Mouse	RND2	Immature neurons	PanglaoDB	https://panglaodb.se/	11858	Rho family GTPase 2
Mouse	FEZF2	Immature neurons	PanglaoDB	https://panglaodb.se/	54713	Fez family zinc finger 2
Mouse	SOX5	Immature neurons	PanglaoDB	https://panglaodb.se/	20678	SRY (sex determining region Y)-box 5
Mouse	ROBO1	Immature neurons	PanglaoDB	https://panglaodb.se/	19876	roundabout guidance receptor 1
Mouse	EPHA7	Immature neurons	PanglaoDB	https://panglaodb.se/	13841	Eph receptor A7
Mouse	EPHA3	Immature neurons	PanglaoDB	https://panglaodb.se/	13837	Eph receptor A3
Mouse	YY2	Immature neurons	PanglaoDB	https://panglaodb.se/	100073351	Yy2 transcription factor
Mouse	SLC1A1	Immature neurons	PanglaoDB	https://panglaodb.se/	20510	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
Mouse	NOTCH3	Immature neurons	PanglaoDB	https://panglaodb.se/	18131	notch 3
Mouse	NOTCH1	Immature neurons	PanglaoDB	https://panglaodb.se/	18128	notch 1
Mouse	LHX6	Immature neurons	PanglaoDB	https://panglaodb.se/	16874	LIM homeobox protein 6
Mouse	NES	Immature neurons	PanglaoDB	https://panglaodb.se/	18008	nestin
Mouse	RBFOX3	Immature neurons	PanglaoDB	https://panglaodb.se/	52897	RNA binding protein, fox-1 homolog (C. elegans) 3
Mouse	CREB1	Immature neurons	PanglaoDB	https://panglaodb.se/	12912	cAMP responsive element binding protein 1
Mouse	NEUROD1	Immature neurons	PanglaoDB	https://panglaodb.se/	18012	neurogenic differentiation 1
Mouse	ASCL1	Immature neurons	PanglaoDB	https://panglaodb.se/	17172	achaete-scute family bHLH transcription factor 1
Mouse	NTRK1	Immature neurons	PanglaoDB	https://panglaodb.se/	18211	neurotrophic tyrosine kinase, receptor, type 1
Mouse	SYN1	Immature neurons	PanglaoDB	https://panglaodb.se/	20964	synapsin I
Mouse	NF1	Immature neurons	PanglaoDB	https://panglaodb.se/	18015	neurofibromin 1
Mouse	BCL2	Immature neurons	PanglaoDB	https://panglaodb.se/	12043	B cell leukemia/lymphoma 2
Mouse	SLC6A5	Immature neurons	PanglaoDB	https://panglaodb.se/	104245	solute carrier family 6 (neurotransmitter transporter, glycine), member 5
Mouse	FOXD2	Immature neurons	PanglaoDB	https://panglaodb.se/	17301	forkhead box D2
Mouse	ICAM5	Immature neurons	PanglaoDB	https://panglaodb.se/	15898	intercellular adhesion molecule 5, telencephalin
Mouse	SSTR2	Immature neurons	PanglaoDB	https://panglaodb.se/	20606	somatostatin receptor 2
Mouse	NEUROG2	Immature neurons	PanglaoDB	https://panglaodb.se/	11924	neurogenin 2
Mouse	FOXI1	Intercalated cells	PanglaoDB	https://panglaodb.se/	14233	forkhead box I1
Mouse	SLC26A11	Intercalated cells	PanglaoDB	https://panglaodb.se/	268512	solute carrier family 26, member 11
Mouse	CLCNKB	Intercalated cells	PanglaoDB	https://panglaodb.se/	56365	chloride channel, voltage-sensitive Kb
Mouse	SLC4A1	Intercalated cells	PanglaoDB	https://panglaodb.se/	20533	solute carrier family 4 (anion exchanger), member 1
Mouse	SLC26A4	Intercalated cells	PanglaoDB	https://panglaodb.se/	23985	solute carrier family 26, member 4
Mouse	ATP6V1B1	Intercalated cells	PanglaoDB	https://panglaodb.se/	110935	ATPase, H+ transporting, lysosomal V1 subunit B1
Mouse	SLC4A8	Intercalated cells	PanglaoDB	https://panglaodb.se/	59033	solute carrier family 4 (anion exchanger), member 8
Mouse	AQP6	Intercalated cells	PanglaoDB	https://panglaodb.se/	11831	aquaporin 6
Mouse	ATP6V1C2	Intercalated cells	PanglaoDB	https://panglaodb.se/	68775	ATPase, H+ transporting, lysosomal V1 subunit C2
Mouse	ATP6V1G3	Intercalated cells	PanglaoDB	https://panglaodb.se/	338375	ATPase, H+ transporting, lysosomal V1 subunit G3
Mouse	ATP6V0D2	Intercalated cells	PanglaoDB	https://panglaodb.se/	242341	ATPase, H+ transporting, lysosomal V0 subunit D2
Mouse	OXGR1	Intercalated cells	PanglaoDB	https://panglaodb.se/	239283	oxoglutarate (alpha-ketoglutarate) receptor 1
Mouse	RHCG	Intercalated cells	PanglaoDB	https://panglaodb.se/	56315	Rhesus blood group-associated C glycoprotein
Mouse	TMEM213	Intercalated cells	PanglaoDB	https://panglaodb.se/	77522	transmembrane protein 213
Mouse	EGF	Intercalated cells	PanglaoDB	https://panglaodb.se/	13645	epidermal growth factor
Mouse	FXYD2	Intercalated cells	PanglaoDB	https://panglaodb.se/	11936	FXYD domain-containing ion transport regulator 2
Mouse	AVPR1A	Intercalated cells	PanglaoDB	https://panglaodb.se/	54140	arginine vasopressin receptor 1A
Mouse	CLCNKA	Intercalated cells	PanglaoDB	https://panglaodb.se/	12733	chloride channel, voltage-sensitive Ka
Mouse	RHBG	Intercalated cells	PanglaoDB	https://panglaodb.se/	58176	Rhesus blood group-associated B glycoprotein
Mouse	DMRT2	Intercalated cells	PanglaoDB	https://panglaodb.se/	226049	doublesex and mab-3 related transcription factor 2
Mouse	P2RY14	Intercalated cells	PanglaoDB	https://panglaodb.se/	140795	purinergic receptor P2Y, G-protein coupled, 14
Mouse	AP1S3	Intercalated cells	PanglaoDB	https://panglaodb.se/	252903	adaptor-related protein complex AP-1, sigma 3
Mouse	INSRR	Intercalated cells	PanglaoDB	https://panglaodb.se/	23920	insulin receptor-related receptor
Mouse	JAG1	Intercalated cells	PanglaoDB	https://panglaodb.se/	16449	jagged 1
Mouse	ADGRF5	Intercalated cells	PanglaoDB	https://panglaodb.se/	224792	adhesion G protein-coupled receptor F5
Mouse	CALB1	Interneurons	PanglaoDB	https://panglaodb.se/	12307	calbindin 1
Mouse	CCK	Interneurons	PanglaoDB	https://panglaodb.se/	12424	cholecystokinin
Mouse	CHAT	Interneurons	PanglaoDB	https://panglaodb.se/	12647	choline acetyltransferase
Mouse	VSX2	Interneurons	PanglaoDB	https://panglaodb.se/	12677	visual system homeobox 2
Mouse	EN1	Interneurons	PanglaoDB	https://panglaodb.se/	13798	engrailed 1
Mouse	ETV1	Interneurons	PanglaoDB	https://panglaodb.se/	14009	ets variant 1
Mouse	EVX1	Interneurons	PanglaoDB	https://panglaodb.se/	14028	even-skipped homeobox 1
Mouse	GAD1	Interneurons	PanglaoDB	https://panglaodb.se/	14415	glutamate decarboxylase 1
Mouse	ISL1	Interneurons	PanglaoDB	https://panglaodb.se/	16392	ISL1 transcription factor, LIM/homeodomain
Mouse	LHX1	Interneurons	PanglaoDB	https://panglaodb.se/	16869	LIM homeobox protein 1
Mouse	LHX5	Interneurons	PanglaoDB	https://panglaodb.se/	16873	LIM homeobox protein 5
Mouse	LHX3	Interneurons	PanglaoDB	https://panglaodb.se/	16871	LIM homeobox protein 3
Mouse	LHX6	Interneurons	PanglaoDB	https://panglaodb.se/	16874	LIM homeobox protein 6
Mouse	GRM1	Interneurons	PanglaoDB	https://panglaodb.se/	14816	glutamate receptor, metabotropic 1
Mouse	NPY	Interneurons	PanglaoDB	https://panglaodb.se/	109648	neuropeptide Y
Mouse	OPRM1	Interneurons	PanglaoDB	https://panglaodb.se/	18390	opioid receptor, mu 1
Mouse	GRIN2D	Interneurons	PanglaoDB	https://panglaodb.se/	14814	glutamate receptor, ionotropic, NMDA2D (epsilon 4)
Mouse	NOS1	Interneurons	PanglaoDB	https://panglaodb.se/	18125	nitric oxide synthase 1, neuronal
Mouse	PVALB	Interneurons	PanglaoDB	https://panglaodb.se/	19293	parvalbumin
Mouse	PAX2	Interneurons	PanglaoDB	https://panglaodb.se/	18504	paired box 2
Mouse	SST	Interneurons	PanglaoDB	https://panglaodb.se/	20604	somatostatin
Mouse	TACR1	Interneurons	PanglaoDB	https://panglaodb.se/	21336	tachykinin receptor 1
Mouse	VIP	Interneurons	PanglaoDB	https://panglaodb.se/	22353	vasoactive intestinal polypeptide
Mouse	CRHR1	Interneurons	PanglaoDB	https://panglaodb.se/	12921	corticotropin releasing hormone receptor 1
Mouse	PACSIN1	Interneurons	PanglaoDB	https://panglaodb.se/	23969	protein kinase C and casein kinase substrate in neurons 1
Mouse	SYN1	Interneurons	PanglaoDB	https://panglaodb.se/	20964	synapsin I
Mouse	FGF12	Interneurons	PanglaoDB	https://panglaodb.se/	14167	fibroblast growth factor 12
Mouse	NXPH1	Interneurons	PanglaoDB	https://panglaodb.se/	18231	neurexophilin 1
Mouse	SYT7	Interneurons	PanglaoDB	https://panglaodb.se/	54525	synaptotagmin VII
Mouse	PTPRO	Interneurons	PanglaoDB	https://panglaodb.se/	19277	protein tyrosine phosphatase, receptor type, O
Mouse	DLGAP1	Interneurons	PanglaoDB	https://panglaodb.se/	224997	DLG associated protein 1
Mouse	GNG4	Interneurons	PanglaoDB	https://panglaodb.se/	14706	guanine nucleotide binding protein (G protein), gamma 4
Mouse	HAP1	Interneurons	PanglaoDB	https://panglaodb.se/	15114	huntingtin-associated protein 1
Mouse	SHISA8	Interneurons	PanglaoDB	https://panglaodb.se/	435145	shisa family member 8
Mouse	PCBP3	Interneurons	PanglaoDB	https://panglaodb.se/	59093	poly(rC) binding protein 3
Mouse	ABAT	Interneurons	PanglaoDB	https://panglaodb.se/	268860	4-aminobutyrate aminotransferase
Mouse	PCP4L1	Interneurons	PanglaoDB	https://panglaodb.se/	66425	Purkinje cell protein 4-like 1
Mouse	GAL	Interneurons	PanglaoDB	https://panglaodb.se/	14419	galanin and GMAP prepropeptide
Mouse	TH	Interneurons	PanglaoDB	https://panglaodb.se/	21823	tyrosine hydroxylase
Mouse	SYNPR	Interneurons	PanglaoDB	https://panglaodb.se/	72003	synaptoporin
Mouse	TRH	Interneurons	PanglaoDB	https://panglaodb.se/	22044	thyrotropin releasing hormone
Mouse	ADCY8	Interneurons	PanglaoDB	https://panglaodb.se/	11514	adenylate cyclase 8
Mouse	CTGF	Interneurons	PanglaoDB	https://panglaodb.se/	14219	cellular communication network factor 2
Mouse	EML5	Interneurons	PanglaoDB	https://panglaodb.se/	319670	echinoderm microtubule associated protein like 5
Mouse	TMEM132D	Interneurons	PanglaoDB	https://panglaodb.se/	243274	transmembrane protein 132D
Mouse	BACE1	Interneurons	PanglaoDB	https://panglaodb.se/	23821	beta-site APP cleaving enzyme 1
Mouse	CACNG2	Interneurons	PanglaoDB	https://panglaodb.se/	12300	calcium channel, voltage-dependent, gamma subunit 2
Mouse	ISCA1	Interneurons	PanglaoDB	https://panglaodb.se/	69046	iron-sulfur cluster assembly 1
Mouse	LPGAT1	Interneurons	PanglaoDB	https://panglaodb.se/	226856	lysophosphatidylglycerol acyltransferase 1
Mouse	NAT14	Interneurons	PanglaoDB	https://panglaodb.se/	269854	N-acetyltransferase 14
Mouse	SLC12A5	Interneurons	PanglaoDB	https://panglaodb.se/	57138	solute carrier family 12, member 5
Mouse	DEPTOR	Interneurons	PanglaoDB	https://panglaodb.se/	97998	DEP domain containing MTOR-interacting protein
Mouse	SLC22A15	Interneurons	PanglaoDB	https://panglaodb.se/	242126	solute carrier family 22 (organic anion/cation transporter), member 15
Mouse	PDE4A	Interneurons	PanglaoDB	https://panglaodb.se/	18577	phosphodiesterase 4A, cAMP specific
Mouse	CACNA1I	Interneurons	PanglaoDB	https://panglaodb.se/	239556	calcium channel, voltage-dependent, alpha 1I subunit
Mouse	FRYL	Interneurons	PanglaoDB	https://panglaodb.se/	72313	FRY like transcription coactivator
Mouse	CAR11	Interneurons	PanglaoDB	https://panglaodb.se/	12348	carbonic anhydrase 11
Mouse	SURF1	Interneurons	PanglaoDB	https://panglaodb.se/	20930	surfeit gene 1
